"","county","county_fips","state","fips","county_population","health_service_area_number","health_service_area","health_service_area_population"
"2437","Comanche County",48093,"Texas",48093,"13,635",507,"Erath, TX - Comanche, TX","56,333"
"2438","Erath County",48143,"Texas",48143,"42,698",507,"Erath, TX - Comanche, TX","56,333"
"2439","Lea County",35025,"New Mexico",35025,"71,070",508,"Lea, NM - Gaines, TX","111,267"
"2440","Andrews County",48003,"Texas",48003,"18,705",508,"Lea, NM - Gaines, TX","111,267"
"2441","Gaines County",48165,"Texas",48165,"21,492",508,"Lea, NM - Gaines, TX","111,267"
"2442","Caldwell County",48055,"Texas",48055,"43,664",510,"Hays (San Marcos), TX - Caldwell, TX","273,855"
"2443","Hays County",48209,"Texas",48209,"230,191",510,"Hays (San Marcos), TX - Caldwell, TX","273,855"
"2444","Osage County",40113,"Oklahoma",40113,"46,963",515,"Kay (Ponca City), OK - Osage, OK","90,501"
"2445","Kay County",40071,"Oklahoma",40071,"43,538",515,"Kay (Ponca City), OK - Osage, OK","90,501"
"2446","Willacy County",48489,"Texas",48489,"21,358",520,"Cameron (Brownsville), TX - Willacy, TX","444,521"
"2447","Cameron County",48061,"Texas",48061,"423,163",520,"Cameron (Brownsville), TX - Willacy, TX","444,521"
"2448","Jeff Davis County",48243,"Texas",48243,"2,274",526,"Brewster, TX - Presidio, TX","18,181"
"2449","Presidio County",48377,"Texas",48377,"6,704",526,"Brewster, TX - Presidio, TX","18,181"
"2450","Brewster County",48043,"Texas",48043,"9,203",526,"Brewster, TX - Presidio, TX","18,181"
"2451","Galveston County",48167,"Texas",48167,"342,139",532,"Galveston, TX","342,139"
"2452","Uvalde County",48463,"Texas",48463,"26,741",536,"Uvalde, TX","26,741"
"2453","Cherokee County",20021,"Kansas",20021,"19,939",539,"Jasper (Joplin), MO - Newton, MO","234,094"
"2454","Newton County",29145,"Missouri",29145,"58,236",539,"Jasper (Joplin), MO - Newton, MO","234,094"
"2455","Barton County",29011,"Missouri",29011,"11,754",539,"Jasper (Joplin), MO - Newton, MO","234,094"
"2456","McDonald County",29119,"Missouri",29119,"22,837",539,"Jasper (Joplin), MO - Newton, MO","234,094"
"2457","Jasper County",29097,"Missouri",29097,"121,328",539,"Jasper (Joplin), MO - Newton, MO","234,094"
"2458","Jones County",19105,"Iowa",19105,"20,681",545,"Linn (Cedar Rapids), IA - Johnson, IA","491,983"
"2459","Washington County",19183,"Iowa",19183,"21,965",545,"Linn (Cedar Rapids), IA - Johnson, IA","491,983"
"2460","Benton County",19011,"Iowa",19011,"25,645",545,"Linn (Cedar Rapids), IA - Johnson, IA","491,983"
"2461","Cedar County",19031,"Iowa",19031,"18,627",545,"Linn (Cedar Rapids), IA - Johnson, IA","491,983"
"2462","Johnson County",19103,"Iowa",19103,"151,140",545,"Linn (Cedar Rapids), IA - Johnson, IA","491,983"
"2463","Linn County",19113,"Iowa",19113,"226,706",545,"Linn (Cedar Rapids), IA - Johnson, IA","491,983"
"2464","Louisa County",19115,"Iowa",19115,"11,035",545,"Linn (Cedar Rapids), IA - Johnson, IA","491,983"
"2465","Iowa County",19095,"Iowa",19095,"16,184",545,"Linn (Cedar Rapids), IA - Johnson, IA","491,983"
"2466","Clark County",20025,"Kansas",20025,"1,994",551,"Ford, KS - Gray, KS","47,428"
"2467","Ford County",20057,"Kansas",20057,"33,619",551,"Ford, KS - Gray, KS","47,428"
"2468","Gray County",20069,"Kansas",20069,"5,988",551,"Ford, KS - Gray, KS","47,428"
"2469","Hodgeman County",20083,"Kansas",20083,"1,794",551,"Ford, KS - Gray, KS","47,428"
"2470","Meade County",20119,"Kansas",20119,"4,033",551,"Ford, KS - Gray, KS","47,428"
"2471","Pennington County",46103,"South Dakota",46103,"113,775",558,"Pennington (Rapid City), SD - Meade, SD","171,565"
"2472","Jackson County",46071,"South Dakota",46071,"3,344",558,"Pennington (Rapid City), SD - Meade, SD","171,565"
"2473","Meade County",46093,"South Dakota",46093,"28,332",558,"Pennington (Rapid City), SD - Meade, SD","171,565"
"2474","Butte County",46019,"South Dakota",46019,"10,429",558,"Pennington (Rapid City), SD - Meade, SD","171,565"
"2475","Fall River County",46047,"South Dakota",46047,"6,713",558,"Pennington (Rapid City), SD - Meade, SD","171,565"
"2476","Custer County",46033,"South Dakota",46033,"8,972",558,"Pennington (Rapid City), SD - Meade, SD","171,565"
"2477","Butler County",20015,"Kansas",20015,"66,911",576,"Sedgwick (Wichita), KS - Butler, KS","687,010"
"2478","Cowley County",20035,"Kansas",20035,"34,908",576,"Sedgwick (Wichita), KS - Butler, KS","687,010"
"2479","Harvey County",20079,"Kansas",20079,"34,429",576,"Sedgwick (Wichita), KS - Butler, KS","687,010"
"2480","Marion County",20115,"Kansas",20115,"11,884",576,"Sedgwick (Wichita), KS - Butler, KS","687,010"
"2481","Sedgwick County",20173,"Kansas",20173,"516,042",576,"Sedgwick (Wichita), KS - Butler, KS","687,010"
"2482","Sumner County",20191,"Kansas",20191,"22,836",576,"Sedgwick (Wichita), KS - Butler, KS","687,010"
"2483","Cavalier County",38019,"North Dakota",38019,"3,762",584,"Grand Forks (Grand Forks), ND - Polk, MN","124,898"
"2484","Grand Forks County",38035,"North Dakota",38035,"69,451",584,"Grand Forks (Grand Forks), ND - Polk, MN","124,898"
"2485","Pembina County",38067,"North Dakota",38067,"6,801",584,"Grand Forks (Grand Forks), ND - Polk, MN","124,898"
"2486","Nelson County",38063,"North Dakota",38063,"2,879",584,"Grand Forks (Grand Forks), ND - Polk, MN","124,898"
"2487","Walsh County",38099,"North Dakota",38099,"10,641",584,"Grand Forks (Grand Forks), ND - Polk, MN","124,898"
"2488","Polk County",27119,"Minnesota",27119,"31,364",584,"Grand Forks (Grand Forks), ND - Polk, MN","124,898"
"2489","Cimarron County",40025,"Oklahoma",40025,"2,137",587,"Seward, KS - Texas, OK","46,135"
"2490","Texas County",40139,"Oklahoma",40139,"19,983",587,"Seward, KS - Texas, OK","46,135"
"2491","Morton County",20129,"Kansas",20129,"2,587",587,"Seward, KS - Texas, OK","46,135"
"2492","Seward County",20175,"Kansas",20175,"21,428",587,"Seward, KS - Texas, OK","46,135"
"2493","Shelby County",19165,"Iowa",19165,"11,454",596,"Pottawattamie (Council Bluffs), IA - Harrison, IA","152,150"
"2494","Audubon County",19009,"Iowa",19009,"5,496",596,"Pottawattamie (Council Bluffs), IA - Harrison, IA","152,150"
"2495","Cass County",19029,"Iowa",19029,"12,836",596,"Pottawattamie (Council Bluffs), IA - Harrison, IA","152,150"
"2496","Mills County",19129,"Iowa",19129,"15,109",596,"Pottawattamie (Council Bluffs), IA - Harrison, IA","152,150"
"2497","Pottawattamie County",19155,"Iowa",19155,"93,206",596,"Pottawattamie (Council Bluffs), IA - Harrison, IA","152,150"
"2498","Harrison County",19085,"Iowa",19085,"14,049",596,"Pottawattamie (Council Bluffs), IA - Harrison, IA","152,150"
"2499","Reno County",20155,"Kansas",20155,"61,998",598,"Reno, KS - Rice, KS","75,691"
"2500","Stafford County",20185,"Kansas",20185,"4,156",598,"Reno, KS - Rice, KS","75,691"
"2501","Rice County",20159,"Kansas",20159,"9,537",598,"Reno, KS - Rice, KS","75,691"
"2502","Hamilton County",19079,"Iowa",19079,"14,773",606,"Story, IA - Boone, IA","167,532"
"2503","Hardin County",19083,"Iowa",19083,"16,846",606,"Story, IA - Boone, IA","167,532"
"2504","Story County",19169,"Iowa",19169,"97,117",606,"Story, IA - Boone, IA","167,532"
"2505","Wright County",19197,"Iowa",19197,"12,562",606,"Story, IA - Boone, IA","167,532"
"2506","Boone County",19015,"Iowa",19015,"26,234",606,"Story, IA - Boone, IA","167,532"
"2507","Henry County",29083,"Missouri",29083,"21,824",607,"Henry, MO - Bates, MO","47,393"
"2508","St. Clair County",29185,"Missouri",29185,"9,397",607,"Henry, MO - Bates, MO","47,393"
"2509","Bates County",29013,"Missouri",29013,"16,172",607,"Henry, MO - Bates, MO","47,393"
"2510","Lyon County",27083,"Minnesota",27083,"25,474",609,"Lyon, MN - Lincoln, MN","31,113"
"2511","Lincoln County",27081,"Minnesota",27081,"5,639",609,"Lyon, MN - Lincoln, MN","31,113"
"2512","Cass County",27021,"Minnesota",27021,"29,779",612,"Crow Wing, MN - Cass, MN","145,893"
"2513","Hubbard County",27057,"Minnesota",27057,"21,491",612,"Crow Wing, MN - Cass, MN","145,893"
"2514","Aitkin County",27001,"Minnesota",27001,"15,886",612,"Crow Wing, MN - Cass, MN","145,893"
"2515","Crow Wing County",27035,"Minnesota",27035,"65,055",612,"Crow Wing, MN - Cass, MN","145,893"
"2516","Wadena County",27159,"Minnesota",27159,"13,682",612,"Crow Wing, MN - Cass, MN","145,893"
"2517","Guthrie County",19077,"Iowa",19077,"10,689",617,"Guthrie, IA - Greene, IA","19,577"
"2518","Greene County",19073,"Iowa",19073,"8,888",617,"Guthrie, IA - Greene, IA","19,577"
"2519","Sioux County",31165,"Nebraska",31165,"1,166",623,"Shannon, SD - Dawes, NE","32,543"
"2520","Bennett County",46007,"South Dakota",46007,"3,365",623,"Shannon, SD - Dawes, NE","32,543"
"2521","Sheridan County",31161,"Nebraska",31161,"5,246",623,"Shannon, SD - Dawes, NE","32,543"
"2522","Dawes County",31045,"Nebraska",31045,"8,589",623,"Shannon, SD - Dawes, NE","32,543"
"2523","Oglala Lakota County",46102,"South Dakota",46102,"14,177",623,"Shannon, SD - Dawes, NE","32,543"
"2524","Faribault County",27043,"Minnesota",27043,"13,653",646,"Freeborn, MN - Faribault, MN","43,934"
"2525","Freeborn County",27047,"Minnesota",27047,"30,281",646,"Freeborn, MN - Faribault, MN","43,934"
"2526","Livingston County",29117,"Missouri",29117,"15,227",657,"Livingston, MO - Carroll, MO","23,906"
"2527","Carroll County",29033,"Missouri",29033,"8,679",657,"Livingston, MO - Carroll, MO","23,906"
"2528","Harper County",20077,"Kansas",20077,"5,436",661,"Kingman, KS - Harper, KS","12,588"
"2529","Kingman County",20095,"Kansas",20095,"7,152",661,"Kingman, KS - Harper, KS","12,588"
"2530","Grant County",38037,"North Dakota",38037,"2,274",670,"Grant, ND","2,274"
"2531","Tama County",19171,"Iowa",19171,"16,854",679,"Marshall, IA - Tama, IA","56,223"
"2532","Marshall County",19127,"Iowa",19127,"39,369",679,"Marshall, IA - Tama, IA","56,223"
"2533","Dickey County",38021,"North Dakota",38021,"4,872",680,"Dickey, ND - LaMoure, ND","8,918"
"2534","LaMoure County",38045,"North Dakota",38045,"4,046",680,"Dickey, ND - LaMoure, ND","8,918"
"2535","Coconino County",4005,"Arizona",4005,"143,476",699,"Maricopa (Phoenix), AZ - Pinal, AZ","5,380,796"
"2536","Yavapai County",4025,"Arizona",4025,"235,099",699,"Maricopa (Phoenix), AZ - Pinal, AZ","5,380,796"
"2537","Gila County",4007,"Arizona",4007,"54,018",699,"Maricopa (Phoenix), AZ - Pinal, AZ","5,380,796"
"2538","Pinal County",4021,"Arizona",4021,"462,789",699,"Maricopa (Phoenix), AZ - Pinal, AZ","5,380,796"
"2539","Maricopa County",4013,"Arizona",4013,"4,485,414",699,"Maricopa (Phoenix), AZ - Pinal, AZ","5,380,796"
"2540","Alpine County",6003,"California",6003,"1,129",701,"Washoe (Reno), NV - Carson City, NV","692,072"
"2541","Douglas County",32005,"Nevada",32005,"48,905",701,"Washoe (Reno), NV - Carson City, NV","692,072"
"2542","Carson City",32510,"Nevada",32510,"55,916",701,"Washoe (Reno), NV - Carson City, NV","692,072"
"2543","Lyon County",32019,"Nevada",32019,"57,510",701,"Washoe (Reno), NV - Carson City, NV","692,072"
"2544","Storey County",32029,"Nevada",32029,"4,123",701,"Washoe (Reno), NV - Carson City, NV","692,072"
"2545","Washoe County",32031,"Nevada",32031,"471,519",701,"Washoe (Reno), NV - Carson City, NV","692,072"
"2546","Churchill County",32001,"Nevada",32001,"24,909",701,"Washoe (Reno), NV - Carson City, NV","692,072"
"2547","Pershing County",32027,"Nevada",32027,"6,725",701,"Washoe (Reno), NV - Carson City, NV","692,072"
"2548","Humboldt County",32013,"Nevada",32013,"16,831",701,"Washoe (Reno), NV - Carson City, NV","692,072"
"2549","Mineral County",32021,"Nevada",32021,"4,505",701,"Washoe (Reno), NV - Carson City, NV","692,072"
"2550","Rio Blanco County",8103,"Colorado",8103,"6,324",711,"Mesa, CO - Garfield, CO","303,243"
"2551","Grand County",49019,"Utah",49019,"9,754",711,"Mesa, CO - Garfield, CO","303,243"
"2552","Garfield County",8045,"Colorado",8045,"60,061",711,"Mesa, CO - Garfield, CO","303,243"
"2553","Mesa County",8077,"Colorado",8077,"154,210",711,"Mesa, CO - Garfield, CO","303,243"
"2554","Eagle County",8037,"Colorado",8037,"55,127",711,"Mesa, CO - Garfield, CO","303,243"
"2555","Pitkin County",8097,"Colorado",8097,"17,767",711,"Mesa, CO - Garfield, CO","303,243"
"2556","Crook County",41013,"Oregon",41013,"24,404",719,"Deschutes, OR - Crook, OR","255,479"
"2557","Harney County",41025,"Oregon",41025,"7,393",719,"Deschutes, OR - Crook, OR","255,479"
"2558","Jefferson County",41031,"Oregon",41031,"24,658",719,"Deschutes, OR - Crook, OR","255,479"
"2559","Wheeler County",41069,"Oregon",41069,"1,332",719,"Deschutes, OR - Crook, OR","255,479"
"2560","Deschutes County",41017,"Oregon",41017,"197,692",719,"Deschutes, OR - Crook, OR","255,479"
"2561","Luna County",35029,"New Mexico",35029,"23,709",732,"Dona Ana (Las Cruces), NM - Luna, NM","252,695"
"2562","Doña Ana County",35013,"New Mexico",35013,"218,195",732,"Dona Ana (Las Cruces), NM - Luna, NM","252,695"
"2563","Sierra County",35051,"New Mexico",35051,"10,791",732,"Dona Ana (Las Cruces), NM - Luna, NM","252,695"
"2564","Shoshone County",16079,"Idaho",16079,"12,882",734,"Kootenai, ID - Bonner, ID","245,861"
"2565","Boundary County",16021,"Idaho",16021,"12,245",734,"Kootenai, ID - Bonner, ID","245,861"
"2566","Benewah County",16009,"Idaho",16009,"9,298",734,"Kootenai, ID - Bonner, ID","245,861"
"2567","Bonner County",16017,"Idaho",16017,"45,739",734,"Kootenai, ID - Bonner, ID","245,861"
"2568","Kootenai County",16055,"Idaho",16055,"165,697",734,"Kootenai, ID - Bonner, ID","245,861"
"2569","Mariposa County",6043,"California",6043,"17,203",737,"Stanislaus (Modesto), CA - Merced, CA","900,021"
"2570","Merced County",6047,"California",6047,"277,680",737,"Stanislaus (Modesto), CA - Merced, CA","900,021"
"2571","Stanislaus County",6099,"California",6099,"550,660",737,"Stanislaus (Modesto), CA - Merced, CA","900,021"
"2572","Tuolumne County",6109,"California",6109,"54,478",737,"Stanislaus (Modesto), CA - Merced, CA","900,021"
"2573","Hood River County",41027,"Oregon",41027,"23,382",748,"Wasco, OR - Hood River, OR","88,264"
"2574","Sherman County",41055,"Oregon",41055,"1,780",748,"Wasco, OR - Hood River, OR","88,264"
"2575","Wasco County",41065,"Oregon",41065,"26,682",748,"Wasco, OR - Hood River, OR","88,264"
"2576","Klickitat County",53039,"Washington",53039,"22,425",748,"Wasco, OR - Hood River, OR","88,264"
"2577","Gilliam County",41021,"Oregon",41021,"1,912",748,"Wasco, OR - Hood River, OR","88,264"
"2578","Skamania County",53059,"Washington",53059,"12,083",748,"Wasco, OR - Hood River, OR","88,264"
"2579","Calaveras County",6009,"California",6009,"45,905",750,"San Joaquin (Stockton), CA - Calaveras, CA","847,805"
"2580","San Joaquin County",6077,"California",6077,"762,148",750,"San Joaquin (Stockton), CA - Calaveras, CA","847,805"
"2581","Amador County",6005,"California",6005,"39,752",750,"San Joaquin (Stockton), CA - Calaveras, CA","847,805"
"2582","Monterey County",6053,"California",6053,"434,061",751,"Santa Clara (San Jose), CA - Monterey, CA","2,424,721"
"2583","San Benito County",6069,"California",6069,"62,808",751,"Santa Clara (San Jose), CA - Monterey, CA","2,424,721"
"2584","Santa Clara County",6085,"California",6085,"1,927,852",751,"Santa Clara (San Jose), CA - Monterey, CA","2,424,721"
"2585","Sierra County",6091,"California",6091,"3,005",753,"Nevada, CA - Sierra, CA","102,760"
"2586","Nevada County",6057,"California",6057,"99,755",753,"Nevada, CA - Sierra, CA","102,760"
"2587","Alameda County",6001,"California",6001,"1,671,329",766,"Alameda (Oakland), CA - Contra Costa, CA","2,824,855"
"2588","Contra Costa County",6013,"California",6013,"1,153,526",766,"Alameda (Oakland), CA - Contra Costa, CA","2,824,855"
"2589","Albany County",56001,"Wyoming",56001,"38,880",771,"Albany, WY - Carbon, WY","55,072"
"2590","Carbon County",56007,"Wyoming",56007,"14,800",771,"Albany, WY - Carbon, WY","55,072"
"2591","Jackson County",8057,"Colorado",8057,"1,392",771,"Albany, WY - Carbon, WY","55,072"
"2592","Fremont County",56013,"Wyoming",56013,"39,261",777,"Fremont, WY - Washakie, WY","51,479"
"2593","Hot Springs County",56017,"Wyoming",56017,"4,413",777,"Fremont, WY - Washakie, WY","51,479"
"2594","Washakie County",56043,"Wyoming",56043,"7,805",777,"Fremont, WY - Washakie, WY","51,479"
"2595","San Luis Obispo County",6079,"California",6079,"283,111",781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA","729,610"
"2596","Santa Barbara County",6083,"California",6083,"446,499",781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA","729,610"
"2597","Santa Cruz County",6087,"California",6087,"273,213",802,"Santa Cruz, CA","273,213"
"2598","Fergus County",30027,"Montana",30027,"11,050",810,"Fergus, MT - Petroleum, MT","11,537"
"2599","Petroleum County",30069,"Montana",30069,"487",810,"Fergus, MT - Petroleum, MT","11,537"
"2600","Mendocino County",6045,"California",6045,"86,749",811,"Mendocino, CA","86,749"
"2601","Kauai County",15007,"Hawaii",15007,"72,293",822,"Kauai, HI","72,293"
"2602","Carolina Muni",72031,"Puerto Rico",72031,"146,984",904,"Puerto Rico","3,193,694"
"2603","Cayey Muni",72035,"Puerto Rico",72035,"42,409",904,"Puerto Rico","3,193,694"
"2604","Culebra Muni",72049,"Puerto Rico",72049,"1,714",904,"Puerto Rico","3,193,694"
"2605","Fajardo Muni",72053,"Puerto Rico",72053,"29,454",904,"Puerto Rico","3,193,694"
"2606","Florida Muni",72054,"Puerto Rico",72054,"11,317",904,"Puerto Rico","3,193,694"
"2607","Hatillo Muni",72065,"Puerto Rico",72065,"39,218",904,"Puerto Rico","3,193,694"
"2608","Las Marías Muni",72083,"Puerto Rico",72083,"7,927",904,"Puerto Rico","3,193,694"
"2609","Maricao Muni",72093,"Puerto Rico",72093,"5,430",904,"Puerto Rico","3,193,694"
"2610","Moca Muni",72099,"Puerto Rico",72099,"34,891",904,"Puerto Rico","3,193,694"
"2611","Orocovis Muni",72107,"Puerto Rico",72107,"20,220",904,"Puerto Rico","3,193,694"
"2612","Quebradillas Muni",72115,"Puerto Rico",72115,"22,918",904,"Puerto Rico","3,193,694"
"2613","Sabana Grande Muni",72121,"Puerto Rico",72121,"21,712",904,"Puerto Rico","3,193,694"
"2614","San Sebastián Muni",72131,"Puerto Rico",72131,"35,528",904,"Puerto Rico","3,193,694"
"2615","Vega Alta Muni",72143,"Puerto Rico",72143,"36,061",904,"Puerto Rico","3,193,694"
"2616","Vieques Muni",72147,"Puerto Rico",72147,"8,386",904,"Puerto Rico","3,193,694"
"2617","Aguada Muni",72003,"Puerto Rico",72003,"36,694",904,"Puerto Rico","3,193,694"
"2618","Aguadilla Muni",72005,"Puerto Rico",72005,"50,265",904,"Puerto Rico","3,193,694"
"2619","Añasco Muni",72011,"Puerto Rico",72011,"26,161",904,"Puerto Rico","3,193,694"
"2620","Canóvanas Muni",72029,"Puerto Rico",72029,"44,674",904,"Puerto Rico","3,193,694"
"2621","Cataño Muni",72033,"Puerto Rico",72033,"23,121",904,"Puerto Rico","3,193,694"
"2622","Cidra Muni",72041,"Puerto Rico",72041,"38,307",904,"Puerto Rico","3,193,694"
"2623","Guaynabo Muni",72061,"Puerto Rico",72061,"83,728",904,"Puerto Rico","3,193,694"
"2624","Gurabo Muni",72063,"Puerto Rico",72063,"47,093",904,"Puerto Rico","3,193,694"
"2625","Hormigueros Muni",72067,"Puerto Rico",72067,"15,518",904,"Puerto Rico","3,193,694"
"2626","Isabela Muni",72071,"Puerto Rico",72071,"40,423",904,"Puerto Rico","3,193,694"
"2627","Lajas Muni",72079,"Puerto Rico",72079,"22,010",904,"Puerto Rico","3,193,694"
"2628","Loíza Muni",72087,"Puerto Rico",72087,"24,553",904,"Puerto Rico","3,193,694"
"2629","Maunabo Muni",72095,"Puerto Rico",72095,"10,321",904,"Puerto Rico","3,193,694"
"2630","Naguabo Muni",72103,"Puerto Rico",72103,"25,761",904,"Puerto Rico","3,193,694"
"2631","Patillas Muni",72109,"Puerto Rico",72109,"16,211",904,"Puerto Rico","3,193,694"
"2632","Peñuelas Muni",72111,"Puerto Rico",72111,"19,249",904,"Puerto Rico","3,193,694"
"2633","San Lorenzo Muni",72129,"Puerto Rico",72129,"35,989",904,"Puerto Rico","3,193,694"
"2634","Santa Isabel Muni",72133,"Puerto Rico",72133,"21,209",904,"Puerto Rico","3,193,694"
"2635","Utuado Muni",72141,"Puerto Rico",72141,"27,395",904,"Puerto Rico","3,193,694"
"2636","Vega Baja Muni",72145,"Puerto Rico",72145,"50,023",904,"Puerto Rico","3,193,694"
"2637","Villalba Muni",72149,"Puerto Rico",72149,"21,372",904,"Puerto Rico","3,193,694"
"2638","Aguas Buenas Muni",72007,"Puerto Rico",72007,"24,814",904,"Puerto Rico","3,193,694"
"2639","Arroyo Muni",72015,"Puerto Rico",72015,"17,238",904,"Puerto Rico","3,193,694"
"2640","Barceloneta Muni",72017,"Puerto Rico",72017,"23,727",904,"Puerto Rico","3,193,694"
"2641","Barranquitas Muni",72019,"Puerto Rico",72019,"27,725",904,"Puerto Rico","3,193,694"
"2642","Cabo Rojo Muni",72023,"Puerto Rico",72023,"47,515",904,"Puerto Rico","3,193,694"
"2643","Caguas Muni",72025,"Puerto Rico",72025,"124,606",904,"Puerto Rico","3,193,694"
"2644","Camuy Muni",72027,"Puerto Rico",72027,"30,504",904,"Puerto Rico","3,193,694"
"2645","Comerío Muni",72045,"Puerto Rico",72045,"18,648",904,"Puerto Rico","3,193,694"
"2646","Corozal Muni",72047,"Puerto Rico",72047,"32,293",904,"Puerto Rico","3,193,694"
"2647","Guánica Muni",72055,"Puerto Rico",72055,"15,383",904,"Puerto Rico","3,193,694"
"2648","Guayama Muni",72057,"Puerto Rico",72057,"39,465",904,"Puerto Rico","3,193,694"
"2649","Jayuya Muni",72073,"Puerto Rico",72073,"13,891",904,"Puerto Rico","3,193,694"
"2650","Lares Muni",72081,"Puerto Rico",72081,"24,276",904,"Puerto Rico","3,193,694"
"2651","Luquillo Muni",72089,"Puerto Rico",72089,"17,665",904,"Puerto Rico","3,193,694"
"2652","Manatí Muni",72091,"Puerto Rico",72091,"37,287",904,"Puerto Rico","3,193,694"
"2653","Naranjito Muni",72105,"Puerto Rico",72105,"27,349",904,"Puerto Rico","3,193,694"
"2654","Ponce Muni",72113,"Puerto Rico",72113,"131,881",904,"Puerto Rico","3,193,694"
"2655","Rincón Muni",72117,"Puerto Rico",72117,"13,656",904,"Puerto Rico","3,193,694"
"2656","Río Grande Muni",72119,"Puerto Rico",72119,"48,025",904,"Puerto Rico","3,193,694"
"2657","San Juan Muni",72127,"Puerto Rico",72127,"318,441",904,"Puerto Rico","3,193,694"
"2658","Toa Alta Muni",72135,"Puerto Rico",72135,"72,025",904,"Puerto Rico","3,193,694"
"2659","Yabucoa Muni",72151,"Puerto Rico",72151,"32,282",904,"Puerto Rico","3,193,694"
"2660","Adjuntas Muni",72001,"Puerto Rico",72001,"17,363",904,"Puerto Rico","3,193,694"
"2661","Aibonito Muni",72009,"Puerto Rico",72009,"22,108",904,"Puerto Rico","3,193,694"
"2662","Arecibo Muni",72013,"Puerto Rico",72013,"81,966",904,"Puerto Rico","3,193,694"
"2663","Bayamón Muni",72021,"Puerto Rico",72021,"169,269",904,"Puerto Rico","3,193,694"
"2664","Ceiba Muni",72037,"Puerto Rico",72037,"10,904",904,"Puerto Rico","3,193,694"
"2665","Ciales Muni",72039,"Puerto Rico",72039,"15,808",904,"Puerto Rico","3,193,694"
"2666","Coamo Muni",72043,"Puerto Rico",72043,"38,336",904,"Puerto Rico","3,193,694"
"2667","Dorado Muni",72051,"Puerto Rico",72051,"36,141",904,"Puerto Rico","3,193,694"
"2668","Guayanilla Muni",72059,"Puerto Rico",72059,"17,623",904,"Puerto Rico","3,193,694"
"2669","Humacao Muni",72069,"Puerto Rico",72069,"50,653",904,"Puerto Rico","3,193,694"
"2670","Juana Díaz Muni",72075,"Puerto Rico",72075,"44,679",904,"Puerto Rico","3,193,694"
"2671","Juncos Muni",72077,"Puerto Rico",72077,"38,155",904,"Puerto Rico","3,193,694"
"2672","Las Piedras Muni",72085,"Puerto Rico",72085,"37,007",904,"Puerto Rico","3,193,694"
"2673","Mayagüez Muni",72097,"Puerto Rico",72097,"71,530",904,"Puerto Rico","3,193,694"
"2674","Morovis Muni",72101,"Puerto Rico",72101,"30,335",904,"Puerto Rico","3,193,694"
"2675","Salinas Muni",72123,"Puerto Rico",72123,"27,128",904,"Puerto Rico","3,193,694"
"2676","San Germán Muni",72125,"Puerto Rico",72125,"30,227",904,"Puerto Rico","3,193,694"
"2677","Toa Baja Muni",72137,"Puerto Rico",72137,"74,271",904,"Puerto Rico","3,193,694"
"2678","Trujillo Alto Muni",72139,"Puerto Rico",72139,"63,674",904,"Puerto Rico","3,193,694"
"2679","Yauco Muni",72153,"Puerto Rico",72153,"33,575",904,"Puerto Rico","3,193,694"
"2680","Johnson County",21115,"Kentucky",21115,"22,188",11,"Floyd, KY - Johnson, KY","69,938"
"2681","Magoffin County",21153,"Kentucky",21153,"12,161",11,"Floyd, KY - Johnson, KY","69,938"
"2682","Floyd County",21071,"Kentucky",21071,"35,589",11,"Floyd, KY - Johnson, KY","69,938"
"2683","Baltimore County",24005,"Maryland",24005,"827,370",16,"Baltimore, MD - Baltimore City, MD","2,586,756"
"2684","Howard County",24027,"Maryland",24027,"325,690",16,"Baltimore, MD - Baltimore City, MD","2,586,756"
"2685","Anne Arundel County",24003,"Maryland",24003,"579,234",16,"Baltimore, MD - Baltimore City, MD","2,586,756"
"2686","Baltimore City",24510,"Maryland",24510,"593,490",16,"Baltimore, MD - Baltimore City, MD","2,586,756"
"2687","Calvert County",24009,"Maryland",24009,"92,525",16,"Baltimore, MD - Baltimore City, MD","2,586,756"
"2688","Carroll County",24013,"Maryland",24013,"168,447",16,"Baltimore, MD - Baltimore City, MD","2,586,756"
"2689","Allen County",21003,"Kentucky",21003,"21,315",29,"Warren, KY - Logan, KY","224,914"
"2690","Logan County",21141,"Kentucky",21141,"27,102",29,"Warren, KY - Logan, KY","224,914"
"2691","Warren County",21227,"Kentucky",21227,"132,896",29,"Warren, KY - Logan, KY","224,914"
"2692","Simpson County",21213,"Kentucky",21213,"18,572",29,"Warren, KY - Logan, KY","224,914"
"2693","Butler County",21031,"Kentucky",21031,"12,879",29,"Warren, KY - Logan, KY","224,914"
"2694","Edmonson County",21061,"Kentucky",21061,"12,150",29,"Warren, KY - Logan, KY","224,914"
"2695","Taylor County",54091,"West Virginia",54091,"16,695",31,"Monongalia, WV - Marion, WV","211,811"
"2696","Marion County",54049,"West Virginia",54049,"56,072",31,"Monongalia, WV - Marion, WV","211,811"
"2697","Monongalia County",54061,"West Virginia",54061,"105,612",31,"Monongalia, WV - Marion, WV","211,811"
"2698","Preston County",54077,"West Virginia",54077,"33,432",31,"Monongalia, WV - Marion, WV","211,811"
"2699","Hampden County",25013,"Massachusetts",25013,"466,372",32,"Hampden (Springfield), MA - Hampshire, MA","627,202"
